CountryRegion,ReportDate,DailyConfirmed
Afghanistan,2020-06-19,27878
Afghanistan,2020-06-20,28424
Afghanistan,2020-06-21,28833
Afghanistan,2020-06-22,29157
Afghanistan,2020-06-23,29481
Afghanistan,2020-06-24,29640
Afghanistan,2020-06-25,30175
Afghanistan,2020-06-26,30451
Afghanistan,2020-06-27,30616
Afghanistan,2020-06-28,30967
Afghanistan,2020-06-29,31238
Afghanistan,2020-06-30,31517
Afghanistan,2020-07-01,31836
Afghanistan,2020-07-02,32022
Afghanistan,2020-07-03,32324
Afghanistan,2020-07-04,32672
Afghanistan,2020-07-05,32951
Afghanistan,2020-07-06,33190
Afghanistan,2020-07-07,33384
Afghanistan,2020-07-08,33594
Afghanistan,2020-07-09,33908
Afghanistan,2020-07-10,34194
Afghanistan,2020-07-11,34366
Afghanistan,2020-07-12,34451
Afghanistan,2020-07-13,34455
Afghanistan,2020-07-14,34740
Afghanistan,2020-07-15,34994
Afghanistan,2020-07-16,35070
Afghanistan,2020-07-17,35229
Afghanistan,2020-07-18,35301
Afghanistan,2020-07-19,35475
Afghanistan,2020-07-20,35526
Afghanistan,2020-07-21,35615
Afghanistan,2020-07-22,35727
Afghanistan,2020-07-23,35928
Afghanistan,2020-07-24,35981
Afghanistan,2020-07-25,36036
Afghanistan,2020-07-26,36157
Afghanistan,2020-07-27,36263
Albania,2020-01-22,0
Albania,2020-01-23,0
Albania,2020-01-24,0
Albania,2020-01-25,0
Albania,2020-01-26,0
Albania,2020-01-27,0
Albania,2020-01-28,0
Albania,2020-01-29,0
Albania,2020-01-30,0
Albania,2020-01-31,0
Albania,2020-02-01,0
Albania,2020-02-02,0
Albania,2020-02-03,0
Albania,2020-02-04,0
Albania,2020-02-05,0
Albania,2020-02-06,0
Albania,2020-02-07,0
Albania,2020-02-08,0
Albania,2020-02-09,0
Albania,2020-02-10,0
Albania,2020-02-11,0
Albania,2020-02-12,0
Albania,2020-02-13,0
Albania,2020-02-14,0
Albania,2020-02-15,0
Albania,2020-02-16,0
Albania,2020-02-17,0
Albania,2020-02-18,0
Albania,2020-02-19,0
Albania,2020-02-20,0
Albania,2020-02-21,0
Albania,2020-02-22,0
Albania,2020-02-23,0
Albania,2020-02-24,0
Albania,2020-02-25,0
Albania,2020-02-26,0
Albania,2020-02-27,0
Albania,2020-02-28,0
Albania,2020-02-29,0
Albania,2020-03-01,0
Albania,2020-03-02,0
Albania,2020-03-03,0
Albania,2020-03-04,0
Albania,2020-03-05,0
Albania,2020-03-06,0
Albania,2020-03-07,0
Albania,2020-03-08,0
Albania,2020-03-09,2
Albania,2020-03-10,10
Albania,2020-03-11,12
Albania,2020-03-12,23
Albania,2020-03-13,33
Albania,2020-03-14,38
Albania,2020-03-15,42
Albania,2020-03-16,51
Albania,2020-03-17,55
Albania,2020-03-18,59
Albania,2020-03-19,64
Albania,2020-03-20,70
Albania,2020-03-21,76
Albania,2020-03-22,89
Albania,2020-03-23,104
Albania,2020-03-24,123
Albania,2020-03-25,146
Albania,2020-03-26,174
Albania,2020-03-27,186
Albania,2020-03-28,197
Albania,2020-03-29,212
Albania,2020-03-30,223
Albania,2020-03-31,243
Albania,2020-04-01,259
Albania,2020-04-02,277
Albania,2020-04-03,304
Albania,2020-04-04,333
Albania,2020-04-05,361
Albania,2020-04-06,377
Albania,2020-04-07,383
Albania,2020-04-08,400
Albania,2020-04-09,409
Albania,2020-04-10,416
Albania,2020-04-11,433
Albania,2020-04-12,446
Albania,2020-04-13,467
Albania,2020-04-14,475
Albania,2020-04-15,494
Albania,2020-04-16,518
Albania,2020-04-17,539
Albania,2020-04-18,548
Albania,2020-04-19,562
Albania,2020-04-20,584
Albania,2020-04-21,609
Albania,2020-04-22,634
Albania,2020-04-23,663
Albania,2020-04-24,678
Albania,2020-04-25,712
Albania,2020-04-26,726
Albania,2020-04-27,736
Albania,2020-04-28,750
Albania,2020-04-29,766
Albania,2020-04-30,773
Albania,2020-05-01,782
Albania,2020-05-02,789
Albania,2020-05-03,795
Albania,2020-05-04,803
Albania,2020-05-05,820
Albania,2020-05-06,832
Albania,2020-05-07,842
Albania,2020-05-08,850
Albania,2020-05-09,856
Albania,2020-05-10,868
Albania,2020-05-11,872
Albania,2020-05-12,876
Albania,2020-05-13,880
Albania,2020-05-14,898
Albania,2020-05-15,916
Albania,2020-05-16,933
Albania,2020-05-17,946
Albania,2020-05-18,948
Albania,2020-05-19,949
Albania,2020-05-20,964
Albania,2020-05-21,969
Albania,2020-05-22,981
Albania,2020-05-23,989
Albania,2020-05-24,998
Albania,2020-05-25,1004
Albania,2020-05-26,1029
Albania,2020-05-27,1050
Albania,2020-05-28,1076
Albania,2020-05-29,1099
Albania,2020-05-30,1122
Albania,2020-05-31,1137
Albania,2020-06-01,1143
Albania,2020-06-02,1164
Albania,2020-06-03,1184
Albania,2020-06-04,1197
Albania,2020-06-05,1212
Albania,2020-06-06,1232
Albania,2020-06-07,1246
Albania,2020-06-08,1263
Albania,2020-06-09,1299
Albania,2020-06-10,1341
Albania,2020-06-11,1385
Albania,2020-06-12,1416
Albania,2020-06-13,1464
Albania,2020-06-14,1521
Albania,2020-06-15,1590
Albania,2020-06-16,1672
Albania,2020-06-17,1722
Albania,2020-06-18,1788
Albania,2020-06-19,1838
Albania,2020-06-20,1891
Albania,2020-06-21,1962
Albania,2020-06-22,1995
Albania,2020-06-23,2047
Albania,2020-06-24,2114
Albania,2020-06-25,2192
Albania,2020-06-26,2269
Albania,2020-06-27,2330
Albania,2020-06-28,2402
Albania,2020-06-29,2466
Albania,2020-06-30,2535
Albania,2020-07-01,2580
Albania,2020-07-02,2662
Albania,2020-07-03,2752
Albania,2020-07-04,2819
Albania,2020-07-05,2893
Albania,2020-07-06,2964
Albania,2020-07-07,3038
Albania,2020-07-08,3106
Albania,2020-07-09,3188
Albania,2020-07-10,3278
Albania,2020-07-11,3371
Albania,2020-07-12,3454
Albania,2020-07-13,3571
Albania,2020-07-14,3667
Albania,2020-07-15,3752
Albania,2020-07-16,3851
Albania,2020-07-17,3906
Albania,2020-07-18,4008
Albania,2020-07-19,4090
Albania,2020-07-20,4171
Albania,2020-07-21,4290
Albania,2020-07-22,4358
Albania,2020-07-23,4466
Albania,2020-07-24,4570
Albania,2020-07-25,4637
Albania,2020-07-26,4763
Albania,2020-07-27,4880
Algeria,2020-01-22,0
Algeria,2020-01-23,0
Algeria,2020-01-24,0
Algeria,2020-01-25,0
Algeria,2020-01-26,0
Algeria,2020-01-27,0
Algeria,2020-01-28,0
Algeria,2020-01-29,0
Algeria,2020-01-30,0
Algeria,2020-01-31,0
Algeria,2020-02-01,0
Algeria,2020-02-02,0
Algeria,2020-02-03,0
Algeria,2020-02-04,0
Algeria,2020-02-05,0
Algeria,2020-02-06,0
Algeria,2020-02-07,0
Algeria,2020-02-08,0
Algeria,2020-02-09,0
Algeria,2020-02-10,0
Algeria,2020-02-11,0
Algeria,2020-02-12,0
Algeria,2020-02-13,0
Algeria,2020-02-14,0
Algeria,2020-02-15,0
Algeria,2020-02-16,0
Algeria,2020-02-17,0
Algeria,2020-02-18,0
Algeria,2020-02-19,0
Algeria,2020-02-20,0
Algeria,2020-02-21,0
Algeria,2020-02-22,0
Algeria,2020-02-23,0
Algeria,2020-02-24,0
Algeria,2020-02-25,1
Algeria,2020-02-26,1
Algeria,2020-02-27,1
Algeria,2020-02-28,1
Algeria,2020-02-29,1
Algeria,2020-03-01,1
Algeria,2020-03-02,3
Algeria,2020-03-03,5
Algeria,2020-03-04,12
Algeria,2020-03-05,12
Algeria,2020-03-06,17
Algeria,2020-03-07,17
Algeria,2020-03-08,19
Algeria,2020-03-09,20
Algeria,2020-03-10,20
Algeria,2020-03-11,20
Algeria,2020-03-12,24
Algeria,2020-03-13,26
Algeria,2020-03-14,37
Algeria,2020-03-15,48
Algeria,2020-03-16,54
Algeria,2020-03-17,60
Algeria,2020-03-18,74
Algeria,2020-03-19,87
Algeria,2020-03-20,90
Algeria,2020-03-21,139
Algeria,2020-03-22,201
Algeria,2020-03-23,230
Algeria,2020-03-24,264
Algeria,2020-03-25,302
Algeria,2020-03-26,367
Algeria,2020-03-27,409
Algeria,2020-03-28,454
Algeria,2020-03-29,511
Algeria,2020-03-30,584
Algeria,2020-03-31,716
Algeria,2020-04-01,847
Algeria,2020-04-02,986
Algeria,2020-04-03,1171
Algeria,2020-04-04,1251
Algeria,2020-04-05,1320
Algeria,2020-04-06,1423
Algeria,2020-04-07,1468
Algeria,2020-04-08,1572
Algeria,2020-04-09,1666
Algeria,2020-04-10,1761
Algeria,2020-04-11,1825
Algeria,2020-04-12,1914
Algeria,2020-04-13,1983
Algeria,2020-04-14,2070
Algeria,2020-04-15,2160
Algeria,2020-04-16,2268
Algeria,2020-04-17,2418
Algeria,2020-04-18,2534
Algeria,2020-04-19,2629
Algeria,2020-04-20,2718
Algeria,2020-04-21,2811
Algeria,2020-04-22,2910
Algeria,2020-04-23,3007
Algeria,2020-04-24,3127
Algeria,2020-04-25,3256
Algeria,2020-04-26,3382
Algeria,2020-04-27,3517
Algeria,2020-04-28,3649
Algeria,2020-04-29,3848
Algeria,2020-04-30,4006
Algeria,2020-05-01,4154
Algeria,2020-05-02,4295
Algeria,2020-05-03,4474
Algeria,2020-05-04,4648
Algeria,2020-05-05,4838
Algeria,2020-05-06,4997
Algeria,2020-05-07,5182
Algeria,2020-05-08,5369
Algeria,2020-05-09,5558
Algeria,2020-05-10,5723
Algeria,2020-05-11,5891
Algeria,2020-05-12,6067
Algeria,2020-05-13,6253
Algeria,2020-05-14,6442
Algeria,2020-05-15,6629
Algeria,2020-05-16,6821
Algeria,2020-05-17,7019
Algeria,2020-05-18,7201
Algeria,2020-05-19,7377
Algeria,2020-05-20,7542
Algeria,2020-05-21,7728
Algeria,2020-05-22,7918
Algeria,2020-05-23,8113
Algeria,2020-05-24,8306
Algeria,2020-05-25,8503
Algeria,2020-05-26,8697
Algeria,2020-05-27,8857
Algeria,2020-05-28,8997
Algeria,2020-05-29,9134
Algeria,2020-05-30,9267
Algeria,2020-05-31,9394
Algeria,2020-06-01,9513
Algeria,2020-06-02,9626
Algeria,2020-06-03,9733
Algeria,2020-06-04,9831
Algeria,2020-06-05,9935
Algeria,2020-06-06,10050
Algeria,2020-06-07,10154
Algeria,2020-06-08,10265
Algeria,2020-06-09,10382
Algeria,2020-06-10,10484
Algeria,2020-06-11,10589
Algeria,2020-06-12,10698
Algeria,2020-06-13,10810
Algeria,2020-06-14,10919
Algeria,2020-06-15,11031
Algeria,2020-06-16,11147
Algeria,2020-06-17,11268
Algeria,2020-06-18,11385
Algeria,2020-06-19,11504
Algeria,2020-06-20,11631
Algeria,2020-06-21,11771
Algeria,2020-06-22,11920
Algeria,2020-06-23,12076
Algeria,2020-06-24,12248
Algeria,2020-06-25,12445
Algeria,2020-06-26,12685
Algeria,2020-06-27,12968
Algeria,2020-06-28,13273
Algeria,2020-06-29,13571
Algeria,2020-06-30,13907
Algeria,2020-07-01,14272
Algeria,2020-07-02,14657
Algeria,2020-07-03,15070
Algeria,2020-07-04,15500
Algeria,2020-07-05,15941
Algeria,2020-07-06,16404
Algeria,2020-07-07,16879
Algeria,2020-07-08,17348
Algeria,2020-07-09,17808
Algeria,2020-07-10,18242
Algeria,2020-07-11,18712
Algeria,2020-07-12,19195
Algeria,2020-07-13,19689
Algeria,2020-07-14,20216
Algeria,2020-07-15,20770
Algeria,2020-07-16,21355
Algeria,2020-07-17,21948
Algeria,2020-07-18,22549
Algeria,2020-07-19,23084
Algeria,2020-07-20,23691
Algeria,2020-07-21,24278
Algeria,2020-07-22,24872
Algeria,2020-07-23,25484
Algeria,2020-07-24,26159
Algeria,2020-07-25,26764
Algeria,2020-07-26,27357
Algeria,2020-07-27,27973
Andorra,2020-01-22,0
Andorra,2020-01-23,0
Andorra,2020-01-24,0
Andorra,2020-01-25,0
Andorra,2020-01-26,0
Andorra,2020-01-27,0
Andorra,2020-01-28,0
Andorra,2020-01-29,0
Andorra,2020-01-30,0
Andorra,2020-01-31,0
Andorra,2020-02-01,0
Andorra,2020-02-02,0
Andorra,2020-02-03,0
Andorra,2020-02-04,0
Andorra,2020-02-05,0
Andorra,2020-02-06,0
Andorra,2020-02-07,0
Andorra,2020-02-08,0
Andorra,2020-02-09,0
Andorra,2020-02-10,0
Andorra,2020-02-11,0
Andorra,2020-02-12,0
Andorra,2020-02-13,0
Andorra,2020-02-14,0
Andorra,2020-02-15,0
Andorra,2020-02-16,0
Andorra,2020-02-17,0
Andorra,2020-02-18,0
Andorra,2020-02-19,0
Andorra,2020-02-20,0
Andorra,2020-02-21,0
Andorra,2020-02-22,0
Andorra,2020-02-23,0
Andorra,2020-02-24,0
Andorra,2020-02-25,0
Andorra,2020-02-26,0
Andorra,2020-02-27,0
Andorra,2020-02-28,0
Andorra,2020-02-29,0
Andorra,2020-03-01,0
Andorra,2020-03-02,1
Andorra,2020-03-03,1
Andorra,2020-03-04,1
Andorra,2020-03-05,1
Andorra,2020-03-06,1
Andorra,2020-03-07,1
Andorra,2020-03-08,1
Andorra,2020-03-09,1
Andorra,2020-03-10,1
Andorra,2020-03-11,1
Andorra,2020-03-12,1
Andorra,2020-03-13,1
Andorra,2020-03-14,1
Andorra,2020-03-15,1
Andorra,2020-03-16,2
Andorra,2020-03-17,39
Andorra,2020-03-18,39
Andorra,2020-03-19,53
Andorra,2020-03-20,75
Andorra,2020-03-21,88
Andorra,2020-03-22,113
Andorra,2020-03-23,133
Andorra,2020-03-24,164
Andorra,2020-03-25,188
Andorra,2020-03-26,224
Andorra,2020-03-27,267
Andorra,2020-03-28,308
Andorra,2020-03-29,334
Andorra,2020-03-30,370
Andorra,2020-03-31,376
Andorra,2020-04-01,390
Andorra,2020-04-02,428
Andorra,2020-04-03,439
Andorra,2020-04-04,466
Andorra,2020-04-05,501
Andorra,2020-04-06,525
Andorra,2020-04-07,545
Andorra,2020-04-08,564
Andorra,2020-04-09,583
Andorra,2020-04-10,601
Andorra,2020-04-11,601
Andorra,2020-04-12,638
Andorra,2020-04-13,646
Andorra,2020-04-14,659
Andorra,2020-04-15,673
Andorra,2020-04-16,673
Andorra,2020-04-17,696
Andorra,2020-04-18,704
Andorra,2020-04-19,713
Andorra,2020-04-20,717
Andorra,2020-04-21,717
Andorra,2020-04-22,723
Andorra,2020-04-23,723
Andorra,2020-04-24,731
Andorra,2020-04-25,738
Andorra,2020-04-26,738
Andorra,2020-04-27,743
Andorra,2020-04-28,743
Andorra,2020-04-29,743
Andorra,2020-04-30,745
Andorra,2020-05-01,745
Andorra,2020-05-02,747
Andorra,2020-05-03,748
Andorra,2020-05-04,750
Andorra,2020-05-05,751
Andorra,2020-05-06,751
Andorra,2020-05-07,752
Andorra,2020-05-08,752
Andorra,2020-05-09,754
Andorra,2020-05-10,755
Andorra,2020-05-11,755
Andorra,2020-05-12,758
Andorra,2020-05-13,760
Andorra,2020-05-14,761
Andorra,2020-05-15,761
Andorra,2020-05-16,761
Andorra,2020-05-17,761
Andorra,2020-05-18,761
Andorra,2020-05-19,761
Andorra,2020-05-20,762
Andorra,2020-05-21,762
Andorra,2020-05-22,762
Andorra,2020-05-23,762
Andorra,2020-05-24,762
Andorra,2020-05-25,763
Andorra,2020-05-26,763
Andorra,2020-05-27,763
Andorra,2020-05-28,763
Andorra,2020-05-29,764
Andorra,2020-05-30,764
Andorra,2020-05-31,764
Andorra,2020-06-01,765
Andorra,2020-06-02,844
Andorra,2020-06-03,851
Andorra,2020-06-04,852
Andorra,2020-06-05,852
Andorra,2020-06-06,852
Andorra,2020-06-07,852
Andorra,2020-06-08,852
Andorra,2020-06-09,852
Andorra,2020-06-10,852
Andorra,2020-06-11,852
Andorra,2020-06-12,853
Andorra,2020-06-13,853
Andorra,2020-06-14,853
Andorra,2020-06-15,853
Andorra,2020-06-16,854
Andorra,2020-06-17,854
Andorra,2020-06-18,855
Andorra,2020-06-19,855
Andorra,2020-06-20,855
Andorra,2020-06-21,855
Andorra,2020-06-22,855
Andorra,2020-06-23,855
Andorra,2020-06-24,855
Andorra,2020-06-25,855
Andorra,2020-06-26,855
Andorra,2020-06-27,855
Andorra,2020-06-28,855
Andorra,2020-06-29,855
Andorra,2020-06-30,855
Andorra,2020-07-01,855
Andorra,2020-07-02,855
Andorra,2020-07-03,855
Andorra,2020-07-04,855
Andorra,2020-07-05,855
Andorra,2020-07-06,855
Andorra,2020-07-07,855
Andorra,2020-07-08,855
Andorra,2020-07-09,855
Andorra,2020-07-10,855
Andorra,2020-07-11,855
Andorra,2020-07-12,855
Andorra,2020-07-13,858
Andorra,2020-07-14,861
Andorra,2020-07-15,862
Andorra,2020-07-16,877
Andorra,2020-07-17,880
Andorra,2020-07-18,880
Andorra,2020-07-19,880
Andorra,2020-07-20,884
Andorra,2020-07-21,884
Andorra,2020-07-22,889
Andorra,2020-07-23,889
Andorra,2020-07-24,897
Andorra,2020-07-25,897
Andorra,2020-07-26,897
Andorra,2020-07-27,907
Angola,2020-01-22,0
Angola,2020-01-23,0
Angola,2020-01-24,0
Angola,2020-01-25,0
Angola,2020-01-26,0
Angola,2020-01-27,0
Angola,2020-01-28,0
Angola,2020-01-29,0
Angola,2020-01-30,0
Angola,2020-01-31,0
Angola,2020-02-01,0
Angola,2020-02-02,0
Angola,2020-02-03,0
Angola,2020-02-04,0
Angola,2020-02-05,0
Angola,2020-02-06,0
Angola,2020-02-07,0
Angola,2020-02-08,0
Angola,2020-02-09,0
Angola,2020-02-10,0
Angola,2020-02-11,0
Angola,2020-02-12,0
Angola,2020-02-13,0
Angola,2020-02-14,0
Angola,2020-02-15,0
Angola,2020-02-16,0
Angola,2020-02-17,0
Angola,2020-02-18,0
Angola,2020-02-19,0
Angola,2020-02-20,0
Angola,2020-02-21,0
Angola,2020-02-22,0
Angola,2020-02-23,0
Angola,2020-02-24,0
Angola,2020-02-25,0
Angola,2020-02-26,0
Angola,2020-02-27,0
Angola,2020-02-28,0
Angola,2020-02-29,0
Angola,2020-03-01,0
Angola,2020-03-02,0
Angola,2020-03-03,0
Angola,2020-03-04,0
Angola,2020-03-05,0
Angola,2020-03-06,0
Angola,2020-03-07,0
Angola,2020-03-08,0
Angola,2020-03-09,0
Angola,2020-03-10,0
Angola,2020-03-11,0
Angola,2020-03-12,0
Angola,2020-03-13,0
Angola,2020-03-14,0
Angola,2020-03-15,0
Angola,2020-03-16,0
Angola,2020-03-17,0
Angola,2020-03-18,0
Angola,2020-03-19,0
Angola,2020-03-20,1
Angola,2020-03-21,2
Angola,2020-03-22,2
Angola,2020-03-23,3
Angola,2020-03-24,3
Angola,2020-03-25,3
Angola,2020-03-26,4
Angola,2020-03-27,4
Angola,2020-03-28,5
Angola,2020-03-29,7
Angola,2020-03-30,7
Angola,2020-03-31,7
Angola,2020-04-01,8
Angola,2020-04-02,8
Angola,2020-04-03,8
Angola,2020-04-04,10
Angola,2020-04-05,14
Angola,2020-04-06,16
Angola,2020-04-07,17
Angola,2020-04-08,19
Angola,2020-04-09,19
Angola,2020-04-10,19
Angola,2020-04-11,19
Angola,2020-04-12,19
Angola,2020-04-13,19
Angola,2020-04-14,19
Angola,2020-04-15,19
Angola,2020-04-16,19
Angola,2020-04-17,19
Angola,2020-04-18,24
Angola,2020-04-19,24
Angola,2020-04-20,24
Angola,2020-04-21,24
Angola,2020-04-22,25
Angola,2020-04-23,25
Angola,2020-04-24,25
Angola,2020-04-25,25
Angola,2020-04-26,26
Angola,2020-04-27,27
Angola,2020-04-28,27
Angola,2020-04-29,27
Angola,2020-04-30,27
Angola,2020-05-01,30
Angola,2020-05-02,35
Angola,2020-05-03,35
Angola,2020-05-04,35
Angola,2020-05-05,36
Angola,2020-05-06,36
Angola,2020-05-07,36
Angola,2020-05-08,43
Angola,2020-05-09,43
Angola,2020-05-10,45
Angola,2020-05-11,45
Angola,2020-05-12,45
Angola,2020-05-13,45
Angola,2020-05-14,48
Angola,2020-05-15,48
Angola,2020-05-16,48
Angola,2020-05-17,48
Angola,2020-05-18,50
Angola,2020-05-19,52
Angola,2020-05-20,52
Angola,2020-05-21,58
Angola,2020-05-22,60
Angola,2020-05-23,61
Angola,2020-05-24,69
Angola,2020-05-25,70
Angola,2020-05-26,70
Angola,2020-05-27,71
Angola,2020-05-28,74
Angola,2020-05-29,81
Angola,2020-05-30,84
Angola,2020-05-31,86
Angola,2020-06-01,86
Angola,2020-06-02,86
Angola,2020-06-03,86
Angola,2020-06-04,86
Angola,2020-06-05,86
Angola,2020-06-06,88
Angola,2020-06-07,91
Angola,2020-06-08,92
Angola,2020-06-09,96
Angola,2020-06-10,113
Angola,2020-06-11,118
Angola,2020-06-12,130
Angola,2020-06-13,138
Angola,2020-06-14,140
Angola,2020-06-15,142
Angola,2020-06-16,148
Angola,2020-06-17,155
Angola,2020-06-18,166
Angola,2020-06-19,172
Angola,2020-06-20,176
Angola,2020-06-21,183
Angola,2020-06-22,186
Angola,2020-06-23,189
Angola,2020-06-24,197
Angola,2020-06-25,212
Angola,2020-06-26,212
Angola,2020-06-27,259
Angola,2020-06-28,267
Angola,2020-06-29,276
Angola,2020-06-30,284
Angola,2020-07-01,291
Angola,2020-07-02,315
Angola,2020-07-03,328
Angola,2020-07-04,346
Angola,2020-07-05,346
Angola,2020-07-06,346
Angola,2020-07-07,386
Angola,2020-07-08,386
Angola,2020-07-09,396
Angola,2020-07-10,458
Angola,2020-07-11,462
Angola,2020-07-12,506
Angola,2020-07-13,525
Angola,2020-07-14,541
Angola,2020-07-15,576
Angola,2020-07-16,607
Angola,2020-07-17,638
Angola,2020-07-18,687
Angola,2020-07-19,705
Angola,2020-07-20,749
Angola,2020-07-21,779
Angola,2020-07-22,812
Angola,2020-07-23,851
Angola,2020-07-24,880
Angola,2020-07-25,916
Angola,2020-07-26,932
Angola,2020-07-27,950
"Antigua and Barbuda",2020-01-22,0
"Antigua and Barbuda",2020-01-23,0
"Antigua and Barbuda",2020-01-24,0
"Antigua and Barbuda",2020-01-25,0
"Antigua and Barbuda",2020-01-26,0
"Antigua and Barbuda",2020-01-27,0
"Antigua and Barbuda",2020-01-28,0
"Antigua and Barbuda",2020-01-29,0
"Antigua and Barbuda",2020-01-30,0
"Antigua and Barbuda",2020-01-31,0
"Antigua and Barbuda",2020-02-01,0
"Antigua and Barbuda",2020-02-02,0
"Antigua and Barbuda",2020-02-03,0
"Antigua and Barbuda",2020-02-04,0
"Antigua and Barbuda",2020-02-05,0
"Antigua and Barbuda",2020-02-06,0
"Antigua and Barbuda",2020-02-07,0
"Antigua and Barbuda",2020-02-08,0
"Antigua and Barbuda",2020-02-09,0
"Antigua and Barbuda",2020-02-10,0
"Antigua and Barbuda",2020-02-11,0
"Antigua and Barbuda",2020-02-12,0
"Antigua and Barbuda",2020-02-13,0
"Antigua and Barbuda",2020-02-14,0
